Filename,Node_Count,Tag_Count,Unique_Tag_Count,MOD_Depth_Count,Token_Count,Action_List_Len
956.html,1019,1019,41,19,357478,146
540.html,196,196,12,7,5165,42
WebSight_175.html,8,8,6,4,324,1
WebSight_11.html,18,18,11,8,740,1
628.html,370,370,26,12,22622,24
WebSight_122.html,15,15,9,7,638,5
297.html,539,539,24,21,171715,58
WebSight_46.html,23,23,6,7,817,3
151.html,431,431,32,16,546390,33
WebSight_47.html,20,20,13,6,678,6
853.html,106,106,17,13,38498,18
WebSight_123.html,33,33,13,6,1350,3
412.html,799,799,31,23,337519,83
WebSight_10.html,5,5,5,3,281,0
WebSight_174.html,8,8,7,3,244,0
404.html,22,22,7,6,17625,10
392.html,71,71,13,6,3449,26
668.html,349,349,24,17,107230,26
WebSight_162.html,20,20,7,6,932,5
1036.html,310,310,23,20,160102,23
845.html,233,233,20,15,654060,1
146.html,601,601,29,14,32371,43
WebSight_51.html,20,20,12,6,504,4
516.html,16,16,13,7,46823,1
WebSight_135.html,11,11,10,4,525,1
WebSight_267.html,19,19,9,7,796,6
WebSight_288.html,14,14,9,4,543,2
32.html,26,26,11,12,11283,6
WebSight_230.html,32,32,12,5,1133,9
WebSight_92.html,29,29,10,5,919,8
WebSight_119.html,12,12,9,4,688,3
WebSight_226.html,16,16,10,4,677,6
WebSight_84.html,19,19,8,6,903,5
605.html,89,89,15,17,85171,27
WebSight_271.html,24,24,12,6,1069,5
828.html,945,945,27,14,74123,170
202.html,280,280,31,15,99209,35
WebSight_2.html,17,17,8,5,829,3
WebSight_158.html,25,25,13,6,951,8
625.html,319,319,19,18,109553,12
WebSight_206.html,9,9,3,4,667,0
WebSight_178.html,10,10,7,5,420,1
WebSight_197.html,8,8,6,5,486,2
WebSight_251.html,19,19,10,6,798,5
WebSight_181.html,26,26,13,7,802,6
WebSight_247.html,6,6,6,3,408,0
WebSight_139.html,17,17,11,6,754,5
12.html,342,342,30,15,163435,79
WebSight_210.html,16,16,7,5,670,4
648.html,405,405,17,25,30889,57
WebSight_142.html,26,26,14,8,1107,4
WebSight_26.html,7,7,5,4,345,1
69.html,1851,1851,29,19,146681,320
WebSight_284.html,11,11,6,8,596,1
424.html,254,254,23,16,77161,34
WebSight_115.html,22,22,10,5,697,6
865.html,1223,1223,30,23,314042,26
WebSight_71.html,17,17,9,5,834,5
WebSight_103.html,18,18,12,6,537,5
WebSight_67.html,19,19,11,5,612,5
936.html,1076,1076,35,11,181066,245
WebSight_88.html,24,24,9,6,1149,6
WebSight_154.html,30,30,13,6,1471,6
WebSight_30.html,26,26,11,6,1132,6
WebSight_292.html,10,10,5,7,459,1
626.html,117,117,13,11,7672,38
WebSight_48.html,26,26,11,9,1127,8
WebSight_205.html,15,15,8,4,476,0
WebSight_194.html,19,19,11,6,607,6
WebSight_252.html,18,18,12,7,552,4
108.html,498,498,21,16,25712,206
WebSight_182.html,25,25,14,5,956,7
372.html,314,314,23,18,181179,68
1202.html,5381,5381,20,25,175321,163
WebSight_244.html,23,23,9,5,1055,9
WebSight_213.html,14,14,12,5,376,2
WebSight_141.html,18,18,9,3,520,2
WebSight_287.html,9,9,6,5,642,4
WebSight_268.html,24,24,11,6,1053,7
WebSight_25.html,11,11,6,7,630,1
WebSight_116.html,29,29,14,8,1311,4
WebSight_72.html,16,16,10,5,726,6
1150.html,1292,1292,20,8,28689,324
WebSight_100.html,17,17,8,4,564,4
WebSight_229.html,29,29,13,7,585,4
WebSight_64.html,16,16,9,4,597,1
WebSight_157.html,26,26,13,6,1402,8
WebSight_291.html,13,13,10,5,582,2
431.html,238,238,20,14,108951,44
WebSight_33.html,18,18,11,4,606,3
WebSight_209.html,23,23,11,5,852,9
WebSight_44.html,20,20,8,5,851,4
WebSight_120.html,30,30,14,5,746,5
WebSight_13.html,25,25,14,5,655,4
WebSight_198.html,17,17,13,6,891,6
368.html,97,97,18,16,134242,11
WebSight_177.html,21,21,10,5,868,3
WebSight_248.html,13,13,8,6,610,5
WebSight_161.html,23,23,11,7,877,9
WebSight_52.html,17,17,9,5,837,4
515.html,186,186,17,9,22294,44
846.html,572,572,27,16,149648,49
WebSight_136.html,16,16,8,5,988,3
581.html,481,481,16,13,30699,169
WebSight_29.html,28,28,12,5,659,6
WebSight_264.html,9,9,5,5,563,2
352.html,1771,1771,32,25,580981,514
WebSight_91.html,22,22,11,6,736,9
186.html,60,60,13,21,245533,1
885.html,1623,1623,29,19,377581,121
WebSight_233.html,41,41,17,6,1052,5
493.html,405,405,15,31,15199,41
240.html,40,40,15,8,10514,2
WebSight_87.html,19,19,12,5,648,5
WebSight_68.html,19,19,14,6,475,4
WebSight_225.html,14,14,7,4,508,1
313.html,207,207,19,17,44522,30
70.html,946,946,22,25,43172,338
WebSight_272.html,19,19,11,5,817,5
128.html,80,80,17,7,5079,20
WebSight_1.html,18,18,7,6,1017,6
WebSight_0.html,11,11,7,5,588,4
200.html,340,340,20,11,14288,94
WebSight_273.html,22,22,13,6,833,7
938.html,311,311,15,34,10080,38
WebSight_86.html,15,15,8,5,598,4
WebSight_69.html,26,26,11,5,1012,4
WebSight_224.html,29,29,13,5,772,5
26.html,1499,1499,22,19,521902,11
WebSight_90.html,22,22,12,6,633,5
30.html,390,390,32,12,388143,34
WebSight_232.html,28,28,12,5,540,0
492.html,7,7,6,4,2817,0
353.html,546,546,22,36,17041,117
580.html,734,734,21,21,121544,269
WebSight_28.html,27,27,14,5,1086,8
WebSight_265.html,26,26,11,5,933,6
WebSight_137.html,18,18,5,5,917,3
WebSight_53.html,12,12,9,5,695,3
847.html,164,164,19,12,113535,27
451.html,60,60,11,9,2493,13
WebSight_160.html,13,13,9,4,360,0
WebSight_249.html,13,13,8,4,670,6
810.html,493,493,30,16,438247,130
406.html,125,125,20,12,16804,25
WebSight_199.html,9,9,8,5,477,0
369.html,171,171,20,9,22205,46
386.html,1346,1346,29,25,61949,432
WebSight_176.html,12,12,6,6,560,2
105.html,1000,1000,32,14,117113,279
WebSight_12.html,14,14,10,7,813,4
WebSight_121.html,9,9,4,5,546,0
WebSight_208.html,22,22,10,4,751,1
502.html,187,187,19,10,14825,24
WebSight_45.html,13,13,11,6,658,3
WebSight_290.html,16,16,9,9,765,1
WebSight_32.html,28,28,11,6,859,7
826.html,303,303,29,12,45104,82
WebSight_156.html,20,20,14,6,678,3
WebSight_228.html,23,23,11,6,1100,5
1147.html,142,142,29,11,39437,46
WebSight_65.html,11,11,7,4,487,4
488.html,859,859,36,17,101203,87
WebSight_101.html,24,24,11,5,1037,7
471.html,108,108,11,16,262038,30
164.html,808,808,17,46,28835,255
WebSight_73.html,12,12,4,5,746,1
WebSight_117.html,8,8,8,4,330,0
1043.html,201,201,23,9,26017,57
WebSight_286.html,17,17,7,7,581,1
WebSight_269.html,19,19,9,6,732,5
WebSight_24.html,7,7,6,4,438,2
WebSight_140.html,12,12,6,4,550,1
WebSight_212.html,16,16,9,4,553,0
WebSight_245.html,34,34,13,6,967,8
WebSight_183.html,19,19,11,6,949,3
689.html,192,192,22,17,155707,29
WebSight_253.html,22,22,10,6,720,3
1079.html,1453,1453,22,16,92191,563
365.html,503,503,29,15,98647,37
WebSight_195.html,14,14,10,4,705,2
WebSight_49.html,29,29,12,6,959,6
WebSight_204.html,19,19,11,6,1010,3
627.html,656,656,22,13,159778,108
WebSight_42.html,7,7,6,4,381,1
1025.html,897,897,29,23,223761,69
339.html,182,182,18,10,12376,39
WebSight_126.html,36,36,16,7,1066,8
WebSight_258.html,9,9,9,4,233,0
WebSight_15.html,14,14,6,5,785,4
102.html,1973,1973,23,7,59192,938
417.html,797,797,7,5,56887,449
WebSight_171.html,14,14,7,5,682,2
952.html,154,154,18,13,67703,13
WebSight_188.html,23,23,13,6,615,5
682.html,210,210,16,5,4784,8
378.html,99,99,23,14,68706,17
WebSight_167.html,10,10,7,4,267,0
WebSight_219.html,22,22,10,6,685,4
WebSight_54.html,14,14,8,4,502,4
1176.html,498,498,36,15,76916,139
513.html,3453,3453,32,22,458601,69
1199.html,336,336,25,15,88072,89
905.html,413,413,23,11,61997,152
WebSight_130.html,7,7,7,4,328,1
60.html,332,332,40,15,88054,41
WebSight_262.html,12,12,7,6,478,1
568.html,64,64,13,15,9806,7
211.html,119,119,15,20,20183,29
WebSight_97.html,23,23,13,6,710,4
495.html,29,29,8,8,7959,8
WebSight_78.html,27,27,12,5,604,4
WebSight_235.html,11,11,6,7,527,1
WebSight_81.html,20,20,12,7,732,5
WebSight_223.html,18,18,3,5,569,0
99.html,104,104,18,12,17306,19
WebSight_39.html,22,22,10,4,739,1
WebSight_274.html,21,21,12,6,932,4
WebSight_7.html,24,24,9,6,861,5
342.html,744,744,25,18,77482,125
WebSight_203.html,24,24,12,6,784,6
159.html,1488,1488,21,16,75835,490
509.html,3000,3000,27,26,125529,534
WebSight_192.html,15,15,10,5,789,3
362.html,17,17,8,8,3165,3
227.html,259,259,17,22,47739,26
WebSight_19.html,22,22,11,5,918,5
WebSight_254.html,4,4,4,3,217,0
WebSight_184.html,14,14,9,7,630,4
WebSight_242.html,12,12,4,5,590,1
1087.html,254,254,25,25,25575,65
266.html,2589,2589,55,20,852138,344
WebSight_58.html,9,9,4,5,622,0
WebSight_215.html,28,28,9,6,867,8
909.html,120,120,20,16,91545,22
1195.html,179,179,25,12,137902,39
WebSight_147.html,19,19,9,5,384,0
WebSight_281.html,10,10,9,4,392,0
WebSight_23.html,25,25,9,7,799,1
WebSight_110.html,23,23,10,5,613,3
1013.html,117,117,17,11,38927,33
WebSight_239.html,20,20,7,5,732,1
WebSight_74.html,14,14,10,5,628,5
WebSight_106.html,28,28,11,7,742,7
899.html,312,312,33,14,208470,75
WebSight_62.html,16,16,8,6,546,2
WebSight_151.html,26,26,14,7,797,6
WebSight_297.html,13,13,9,5,680,3
WebSight_278.html,17,17,6,5,844,3
WebSight_35.html,20,20,7,5,867,4
1053.html,118,118,21,13,59165,15
WebSight_296.html,13,13,8,4,397,0
820.html,1149,1149,29,30,63494,92
WebSight_279.html,11,11,8,4,452,0
WebSight_34.html,17,17,12,7,834,6
WebSight_150.html,11,11,9,5,381,1
WebSight_63.html,19,19,6,6,661,2
WebSight_107.html,18,18,11,5,819,3
318.html,356,356,21,14,26932,75
WebSight_238.html,18,18,11,6,712,6
WebSight_75.html,21,21,11,5,643,4
532.html,773,773,29,18,473428,70
WebSight_111.html,23,23,11,5,666,4
WebSight_280.html,18,18,9,6,580,3
6.html,528,528,23,11,96614,117
WebSight_22.html,11,11,6,7,622,2
WebSight_146.html,12,12,10,4,335,0
WebSight_59.html,15,15,9,5,640,1
WebSight_214.html,14,14,9,4,397,0
322.html,359,359,30,21,96808,82
WebSight_243.html,16,16,7,3,378,0
1086.html,1135,1135,28,14,169040,384
WebSight_185.html,14,14,8,5,731,3
230.html,215,215,21,11,104601,57
WebSight_18.html,21,21,11,6,633,4
WebSight_255.html,20,20,15,8,682,3
WebSight_193.html,16,16,7,6,609,2
363.html,375,375,38,16,170231,47
1213.html,21,21,6,4,924,8
WebSight_202.html,13,13,8,7,731,4
1028.html,217,217,20,17,179012,75
621.html,73,73,13,8,1824,4
206.html,17,17,8,8,3331,3
WebSight_6.html,21,21,11,6,609,3
98.html,1439,1439,29,17,62984,191
WebSight_38.html,18,18,7,3,632,1
WebSight_275.html,22,22,12,6,705,4
77.html,436,436,23,16,672020,96
251.html,429,429,23,19,48918,147
314.html,91,91,20,11,16947,26
WebSight_80.html,19,19,14,5,620,4
WebSight_222.html,21,21,11,6,618,4
178.html,692,692,26,15,60151,150
882.html,423,423,29,13,42358,94
181.html,372,372,30,12,75117,73
WebSight_96.html,13,13,10,6,512,1
WebSight_79.html,17,17,8,6,522,6
WebSight_234.html,30,30,15,7,822,5
640.html,103,103,16,8,43085,28
61.html,56,56,18,9,5606,9
WebSight_263.html,20,20,11,5,861,4
WebSight_131.html,16,16,9,5,517,1
WebSight_218.html,19,19,9,4,472,1
WebSight_55.html,12,12,7,5,668,3
512.html,463,463,27,14,124405,96
WebSight_189.html,22,22,12,8,811,6
396.html,352,352,13,14,11687,62
WebSight_166.html,19,19,13,4,661,2
695.html,170,170,16,18,12284,39
WebSight_170.html,12,12,8,4,427,1
WebSight_259.html,17,17,8,5,530,1
WebSight_14.html,14,14,10,5,443,1
WebSight_127.html,25,25,11,6,1121,7
WebSight_43.html,20,20,12,7,669,5
1024.html,1286,1286,31,25,97935,191
